Size,MergeSortTime,InsertionSortTime
34300,0.021509,1.0444
34350,0.021836,1.05305
34400,0.021599,1.05599
34450,0.021496,1.05882
34500,0.021614,1.05816
34550,0.02164,1.05609
34600,0.022081,1.07032
34650,0.022079,1.06648
34700,0.021688,1.07029
34750,0.021704,1.07204
34800,0.021804,1.07337
34850,0.022122,1.07145
34900,0.022062,1.08484
34950,0.021804,1.08433
35000,0.022079,1.09184
35050,0.022047,1.09027
35100,0.022069,1.09497
35150,0.022323,1.09464
35200,0.022139,1.11265
35250,0.022098,1.09803
35300,0.022228,1.10658
35350,0.022239,1.10441
35400,0.022293,1.12647
35450,0.02237,1.12
35500,0.022296,1.11919
35550,0.0227,1.12945
35600,0.022784,1.12501
35650,0.023006,1.14048
35700,0.022861,1.13015
35750,0.022741,1.15901
35800,0.022553,1.14588
35850,0.022683,1.14772
35900,0.023177,1.13528
35950,0.022502,1.15029
36000,0.022989,1.15561
36050,0.022954,1.15796
36100,0.023524,1.15953
36150,0.022834,1.15858
36200,0.023096,1.16177
36250,0.023097,1.16931
36300,0.023045,1.1779
36350,0.023152,1.16921
36400,0.023053,1.17238
36450,0.023669,1.18266
36500,0.022945,1.18063
36550,0.023125,1.19135
36600,0.023631,1.19967
36650,0.023297,1.19398
36700,0.023315,1.19389
36750,0.023502,1.20091
36800,0.023334,1.20384
36850,0.02324,1.21225
36900,0.023359,1.2189
36950,0.023455,1.21524
37000,0.023412,1.20973
37050,0.023429,1.22571
37100,0.023507,1.21554
37150,0.023469,1.23378
37200,0.023593,1.23443
37250,0.023694,1.22568
37300,0.02336,1.94845
37350,0.02553,1.32005
37400,0.026054,1.32145
37450,0.025808,1.33416
37500,0.026271,1.29192
37550,0.02445,1.25484
37600,0.024129,1.26562
37650,0.023668,1.25238
37700,0.02389,1.2702
37750,0.02414,1.26562
37800,0.024006,1.2701
37850,0.023957,1.2756
37900,0.023878,1.29146
37950,0.023941,1.27405
38000,0.024457,1.28292
38050,0.024399,1.28507
38100,0.024382,1.29616
38150,0.024434,1.29557
38200,0.024163,1.3025
38250,0.024281,1.30525
38300,0.024428,1.30295
38350,0.02432,1.30748
38400,0.023892,1.31665
38450,0.024389,1.30885
38500,0.02487,1.31253
38550,0.024347,1.32962
38600,0.02452,1.33201
38650,0.02486,1.33411
38700,0.025006,1.34288
38750,0.024656,1.33035
38800,0.024097,1.34296
38850,0.024276,1.34728
38900,0.024503,1.35592
38950,0.024373,1.35439
39000,0.024134,1.3571
39050,0.024679,1.36064
39100,0.025007,1.36211
39150,0.024943,1.3716
39200,0.024863,1.37128
39250,0.024761,1.37057
39300,0.025257,1.38118
39350,0.024584,1.38564
39400,0.024709,1.37754
39450,0.025724,1.38797
39500,0.025106,1.39224
39550,0.025178,1.39404
39600,0.024674,1.40448
39650,0.025247,1.40492
39700,0.025459,1.41196
39750,0.025175,1.40732
39800,0.025776,1.40244
39850,0.025611,1.41974
39900,0.025368,1.41774
39950,0.025226,1.42168
40000,0.025395,1.43167
40050,0.025526,1.42231
40100,0.025537,1.43108
40150,0.025738,1.43021
40200,0.025041,1.43836
40250,0.025381,1.4497
40300,0.025569,1.44325
40350,0.025481,1.4544
40400,0.025293,1.44213
40450,0.025564,1.45114
40500,0.025673,1.45773
40550,0.025143,1.45453
40600,0.025923,1.46845
40650,0.025685,1.48069
40700,0.025475,1.48256
40750,0.025451,1.48201
40800,0.026256,1.48146
40850,0.025824,1.49091
40900,0.025658,1.49749
40950,0.025718,1.4955
41000,0.025752,1.49954
41050,0.025857,1.49868
41100,0.025858,1.50998
41150,0.025622,1.51504
41200,0.025924,1.50405
41250,0.026064,1.52008
41300,0.025881,1.52368
41350,0.026273,1.52967
41400,0.025995,1.53787
41450,0.026286,1.52965
41500,0.02617,1.54763
41550,0.025904,1.53808
41600,0.026704,1.54702
41650,0.025999,1.54668
41700,0.026547,1.55331
41750,0.02695,1.55752
41800,0.026315,1.54917
41850,0.026109,1.5616
41900,0.026269,1.56756
41950,0.026533,1.58241
42000,0.026462,1.57245
42050,0.026756,1.56741
42100,0.026415,1.57819
42150,0.026828,1.57382
42200,0.026953,1.59362
42250,0.02642,1.58489
42300,0.026508,1.59567
42350,0.026848,1.58826
42400,0.027039,1.59794
42450,0.027094,1.60218
42500,0.027304,1.61483
42550,0.027299,1.6122
42600,0.027512,1.64416
42650,0.02697,1.62708
42700,0.027501,1.62049
42750,0.026752,1.62767
42800,0.026831,1.63861
42850,0.026903,1.64187
42900,0.027712,1.64114
42950,0.02712,1.64335
43000,0.027351,1.64918
43050,0.027805,1.65407
43100,0.027722,1.65962
43150,0.027511,1.65733
43200,0.027261,1.65933
43250,0.027181,1.67471
43300,0.027315,1.6809
43350,0.027855,1.68626
43400,0.027613,1.6847
43450,0.027214,1.6874
43500,0.027969,1.68379
43550,0.027269,1.69408
43600,0.027548,1.7005
43650,0.027794,1.69955
43700,0.027741,1.70721
43750,0.027301,1.70361
43800,0.027817,1.71446
43850,0.027521,1.71308
43900,0.027937,1.72312
43950,0.028188,1.74627
44000,0.028061,1.73465
44050,0.027721,1.74354
44100,0.027805,1.7255
44150,0.028463,1.73862
44200,0.027988,1.74349
44250,0.028074,1.75443
44300,0.02781,1.74503
44350,0.028109,1.74867
44400,0.028768,1.76548
44450,0.028552,1.76494
44500,0.028299,1.76148
44550,0.029004,1.76768
44600,0.02824,1.77884
44650,0.028406,1.78027
44700,0.028409,1.78608
44750,0.028176,1.78233
44800,0.028374,1.80648
44850,0.028279,1.79879
44900,0.028609,1.79877
44950,0.028318,1.80036
45000,0.02849,1.80068
45050,0.028754,1.80999
45100,0.028979,1.80047
45150,0.028659,1.81678
45200,0.029095,1.81715
45250,0.029162,1.82492
45300,0.028742,1.83836
45350,0.029277,1.83619
45400,0.028562,1.84028
45450,0.02923,1.84745
45500,0.028532,1.85314
45550,0.029052,1.8406
45600,0.029585,1.85697
45650,0.029265,1.8518
45700,0.029397,1.86953
45750,0.028839,1.86799
45800,0.028927,1.87659
45850,0.029588,1.86577
45900,0.029021,1.88151
45950,0.028916,1.88078
46000,0.029297,1.89695
46050,0.029813,1.90502
46100,0.029193,1.88902
46150,0.029379,1.89183
46200,0.029071,1.90743
46250,0.029031,1.90119
46300,0.029868,1.91554
46350,0.029526,1.92277
46400,0.029879,1.93
46450,0.029356,1.9206
46500,0.029994,1.93002
46550,0.029641,1.94255
